race,cluster,lsat,ugpa,zfygpa,zgpa,bar1,fulltime,fam_inc,age,gender
2,5,37,NA,NA,-2.01,F,1,4,-58,male
3,5,37,3.6,NA,0,F,1,3,-62,male
7,5,33,3.3,NA,NA,P,1,4,-60,female
7,4,32.5,3.2,-0.76,-0.56,P,1,4,-62,female
7,5,41,3.9,1.08,0.88,P,1,3,-57,female
7,3,36,2.9,-0.53,-1.05,F,1,4,-61,female
4,1,36,3.1,-0.67,-0.9,P,1,3,-61,female
2,1,34,2.5,-1.14,-0.93,F,1,4,-60,male
7,5,41,3.2,-0.16,-0.19,F,1,5,-59,male
7,3,36,3.3,0.45,0.23,P,1,4,-62,male
7,1,41,3.4,-0.38,-0.83,F,1,3,-58,female
7,2,35,3.3,0.91,1.26,P,1,4,-61,male
7,1,37,3.2,-0.65,-0.59,P,1,3,-61,female
7,5,42,3.8,0.35,0.35,P,1,4,-55,female
7,3,36,3.6,0.45,0.44,P,1,3,-62,female
7,1,44,3.7,-1.26,-1.42,P,1,3,-60,male
7,3,37,3.7,1.08,0.98,P,1,3,-62,male
7,3,34,3.5,-0.2,-0.57,P,1,4,-63,female
7,3,42,3.3,-1.59,-0.82,P,1,4,-62,male
7,5,37.7,3.1,NA,NA,P,1,4,-60,female
7,1,26,2.6,1.28,-0.85,F,2,4,-61,male
7,1,38,3.6,0.22,0.18,P,1,4,-62,female
7,6,29,3,NA,NA,F,1,3,-55,male
7,5,30,2.9,-0.86,-1.43,F,1,4,-60,male
7,2,45,3.1,2.23,2.14,F,1,4,-61,female
7,3,40,2.6,-0.44,-1.36,F,1,4,-60,female
7,3,42,3.9,0.61,0.47,P,1,3,-55,female
7,3,38,2.2,-0.94,-0.91,P,1,4,-57,male
7,3,37,2.5,-0.77,-1.55,F,1,5,-61,male
7,3,35,3.2,-0.69,-0.49,F,1,NA,-62,male
7,3,NA,3.4,0.32,0.49,P,1,2,-37,female
7,5,45,3.6,0.25,0.19,P,1,4,-65,female
7,1,39,3.5,-0.81,-0.07,P,1,3,-49,male
5,3,31,3,-1.46,-1.34,F,2,2,-42,male
7,3,34,3,-0.5,-1.41,F,1,4,-62,female
7,1,41,3.8,1.6,1.49,P,1,3,-62,female
7,4,43,3.6,-0.99,-0.1,P,1,4,-60,female
4,3,27,2.3,-1.26,-1.27,P,1,3,-55,male
7,1,39,3.4,1,0.19,F,1,4,-62,female
7,3,32,3.2,-1.48,-1.65,F,1,4,-62,female
7,1,30,3.2,-1.38,-1.32,F,1,3,-61,female
7,3,38,2.9,-1.51,-0.31,P,1,4,-62,female
2,4,31,2.6,-1.26,-1.87,F,1,5,-59,male
7,6,27,2.5,NA,NA,F,1,3,-46,male
7,3,33,2.5,-0.32,-1.27,P,1,4,-58,male
7,4,41,3,0.49,0.38,P,1,4,-62,female
7,3,40,3.7,-0.75,-0.73,F,1,3,-59,female
7,3,34,2.7,-1.71,-1.54,F,1,4,-60,male
3,4,25,3.3,-0.09,-0.24,F,1,2,-61,female
7,5,44,3.8,0.78,1.4,P,1,4,-62,female
7,1,35.5,3.6,-0.09,0.38,P,1,2,-53,male
1,5,39,2.8,NA,NA,F,1,3,-53,female
7,4,38,3,-1.23,-0.86,P,1,5,-61,male
7,5,48,3.8,NA,0,P,1,2,-57,male
7,4,48,3.8,0.86,0.99,P,1,2,-56,female
7,4,36,3.2,-1.37,NA,P,1,4,-59,female
7,3,37,3.6,1.45,1.39,P,1,3,-62,female
7,1,35,3.5,0.26,0.26,P,1,4,-58,male
7,3,37,3.1,1.33,0.65,P,1,4,-62,female
7,1,42,3.2,0.58,0.74,P,1,4,-59,male
3,5,33,3.9,-1.43,NA,P,1,4,-61,female
7,3,37,3.8,-0.88,-2.11,F,1,3,-62,female
4,1,23.5,2.3,-1.38,-1.77,P,1,1,-56,male
6,1,40,3.6,-0.01,-0.02,P,1,4,-61,female
7,4,37.5,3,-0.54,-0.51,P,2,4,-58,male
3,3,27,3.3,1.25,0.41,P,1,2,-61,female
3,1,24,2.6,-1.6,-1.77,F,1,3,-61,female
3,3,26,2.3,-2.05,-1.39,F,2,3,-56,male
7,1,40,3.4,-0.49,-0.57,F,1,3,-53,male
7,1,39,3.5,1.84,1.89,P,1,3,-59,male
7,4,36.5,3.4,-0.8,-0.87,F,1,2,-58,female
7,3,37,2.2,-0.47,-0.9,F,2,5,-52,male
7,1,32,3.3,0.28,0,P,1,2,-55,female
3,3,19,3.2,-0.7,-0.45,F,1,3,-62,female
7,3,31.5,3,-0.44,-0.17,P,1,4,-61,female
7,2,33,3.5,NA,NA,F,1,3,-62,male
2,3,38,2.8,-1.26,-1.86,P,1,2,-60,male
7,2,27.5,3.1,-0.02,-0.77,F,1,4,-61,male
7,3,44,3.1,-0.79,-1.34,P,1,4,-61,male
3,1,32,2.4,-0.53,-0.7,F,1,1,-56,male
5,1,29,2.8,-1.32,-2.31,F,1,2,-64,male
7,3,36,2.3,-0.95,NA,F,1,2,-24,male
7,3,36,3.3,0.14,0.53,P,2,3,-57,male
7,3,30,3,-0.09,-0.61,F,1,3,-61,male
7,3,34,3.4,0.8,0.81,P,1,4,-56,female
7,1,40,3.2,-0.78,-1.25,P,1,4,-61,male
7,1,35,3.7,-0.37,-0.27,P,1,3,-62,male
7,4,42.5,3.6,0.94,0.84,P,1,5,-60,female
7,4,36,2.8,-1.05,-1.47,F,1,4,-62,male
6,1,33,3.1,-0.81,-1.55,F,1,3,-62,female
7,3,39,3.4,-0.05,-0.35,F,1,4,-61,female
7,1,39,3.8,0.38,-0.06,P,1,4,-62,male
7,4,42,3.9,-0.18,-0.08,P,1,4,-62,female
7,4,31,3,-1.66,-0.95,F,1,3,-57,female
7,2,33,2.9,1.21,2.3,P,1,4,-61,female
7,4,38,3.3,0.74,0.45,P,1,3,-62,female
7,2,39,3.7,1.4,1.85,P,1,1,-59,male
7,1,42,3.4,-0.4,0.21,P,1,2,-59,female
7,3,32,3,0.56,1.89,P,2,3,-52,female
3,5,26,3.2,-2.22,-2.14,F,1,4,-61,female
7,1,37,3.6,0.5,0.18,F,1,3,-59,male
3,4,29,2.7,NA,NA,F,2,4,-43,male
7,3,36,3.2,2,2.31,P,1,4,-50,female
7,1,38.5,3.6,1.2,1.23,P,1,4,-62,male
7,3,35,NA,1.23,1.35,P,1,3,-51,female
7,2,30,3.2,-1.13,-1.27,F,1,3,-48,female
7,3,30,3.1,0.75,0.8,P,1,5,-66,male
7,3,39,3.1,1.44,0.84,P,2,4,-61,female
3,6,30,2.7,1.14,0.29,P,1,2,-57,male
2,5,40,2.8,NA,NA,F,1,4,-63,male
7,2,34,3,-0.55,0.43,P,2,4,-62,female
2,4,42,2.9,1.31,-0.17,P,1,4,-59,male
7,3,36,NA,1.39,1.25,P,1,3,-60,male
7,3,33,3.2,0.6,0.17,P,2,2,-45,male
7,3,24,3,-1.04,-0.78,F,1,3,-55,male
7,5,46,3.1,2.03,0.98,P,1,3,-56,male
7,2,31.5,2.6,-0.96,-1.49,F,1,3,-62,female
7,4,33,3.8,0.77,0.99,P,1,3,-62,female
7,3,45,3.5,0.15,0.95,F,1,2,-49,male
7,3,31,3.6,1.27,1.05,P,1,4,-54,female
7,1,38,3,0.12,0.07,P,1,3,-49,female
7,1,44,3.8,0.21,0.35,P,1,4,-63,male
7,3,33,3.1,-0.45,-0.76,P,1,4,-62,male
7,3,36,3.6,-0.89,-0.29,P,1,2,-47,male
7,3,35,3.3,-1.06,-0.77,F,1,3,-62,male
7,4,32.3,3.2,-1.51,-1.51,F,1,4,-65,female
7,3,33,3.1,-1.42,-1.03,F,1,3,-60,male
7,5,20,NA,-1.56,-2.37,F,2,1,-59,female
7,3,38,3,0.48,0.65,F,1,4,-61,male
7,3,44,2.6,0.26,-0.37,P,1,3,-62,male
3,4,28.5,3.4,-2.87,-2.52,F,1,2,-66,female
7,5,44,3.3,0.06,NA,P,1,1,-58,male
7,1,41,3,-0.46,0.14,P,1,4,-61,male
4,3,29,3,-0.57,-1.02,F,1,2,-51,male
8,3,37,3.9,-0.05,0,P,1,4,-62,male
7,4,43,3.5,-0.66,-0.79,P,1,4,-62,female
7,4,43,3.7,-0.26,-0.4,F,1,4,-67,male
3,4,33,2.6,-1.35,-1.3,F,2,4,-50,female
7,4,38,2.1,-1.81,-1.82,F,1,4,-54,female
7,3,37,2.7,-0.49,-0.78,P,1,4,-61,male
7,3,33,3.6,0.25,0.5,F,1,2,-48,female
7,3,37,2.9,-0.14,0.1,P,1,4,-61,female
2,3,28,3.2,-0.55,-1.37,F,1,3,-60,male
7,5,42,4,NA,0,P,1,4,-62,female
3,3,25,2.4,-1.29,-1.52,F,1,4,-66,female
2,5,41,2.9,-1.26,-1.07,F,1,4,-60,male
7,NA,27,2.7,0.31,-1.1,F,2,1,-60,male
3,3,27,2.7,-1.9,-1.27,F,1,4,-60,female
7,4,36,3.3,-0.38,-0.41,P,1,4,-62,male
7,4,42,3.5,1,0.03,P,1,4,-62,female
7,4,47,3.6,0.6,0.83,P,1,5,-61,male
7,3,36,2.5,0.07,-0.04,P,1,4,-62,male
7,2,26,3.2,0.53,-0.76,P,1,4,-52,male
7,3,34,2.8,-1.79,-1.82,F,1,4,-55,male
4,6,30,2.1,0.18,-0.17,F,1,2,-57,male
7,3,37,2.8,-0.09,-0.52,P,2,3,-55,female
7,3,37,2.9,0.15,-0.2,F,1,3,-63,male
7,3,30,3.4,-0.98,-0.67,F,2,3,-48,male
7,3,37,3.4,-0.92,-0.16,P,1,4,-62,female
7,1,38,3.9,2.41,2.25,P,2,4,-58,female
7,4,37.5,3.7,0.05,-0.06,F,1,4,-52,male
7,1,25,3.5,-0.26,-0.77,F,1,5,-60,female
7,1,31.5,3.4,-0.37,-0.42,F,1,3,-58,female
7,4,26,2.8,-0.38,-0.73,P,1,5,-58,male
7,1,33,3.5,-0.95,-1.09,F,1,4,-61,male
8,1,38,3.7,-0.51,-0.92,P,1,2,-60,male
7,5,48,3.5,-0.61,NA,F,1,5,-62,male
7,4,45,3.7,0.55,-0.23,P,1,3,-62,male
7,3,34,2.8,0.26,0.32,P,1,4,-62,male
3,3,28,2.9,-1.4,-1.73,F,1,4,-62,female
7,3,34,2.9,1.25,1.25,P,1,3,-61,male
7,3,37,2.5,-1.44,-1.4,F,1,5,-60,male
7,4,37,3.9,-0.49,-0.54,P,1,3,-62,female
7,3,46,2.9,NA,NA,P,2,3,-63,female
7,1,42,3.8,0.92,0.49,P,1,4,-62,female
2,6,30,2.8,0.05,0.06,F,1,2,-60,female
7,1,35,3.1,-0.93,NA,F,2,3,-54,male
7,6,31,2.8,2.05,1.59,F,1,3,-59,female
7,2,35,3.5,1,1.55,P,1,3,-61,female
7,2,33,3.7,-0.52,-0.33,P,1,2,-56,male
7,2,29,3.3,-1.42,-1.32,F,1,4,-62,female
7,1,43,3.2,0.26,-0.03,P,1,4,-62,male
7,1,26,3.5,-0.24,-0.36,F,1,1,-61,female
7,1,39,3.5,-1.11,-0.92,P,1,4,-42,female
3,2,26,2.3,-1,-1.58,F,1,3,-60,female
3,3,25,2.3,-1.26,-0.51,F,2,3,-59,female
7,1,40,2.9,-0.28,-0.45,P,1,4,-61,male
7,2,32,2.7,-0.66,-0.97,P,1,3,-62,male
7,3,37,2.7,-1.4,-1.65,F,1,3,-61,female
7,4,40,3.9,-0.39,-0.03,P,1,4,-61,male
7,5,47,4,1.71,1.07,P,1,3,-58,male
7,3,32,3.4,0.85,0.52,P,1,1,-62,female
7,1,44,3.6,1.38,1.34,P,1,4,-62,female
7,3,34,3.1,0.75,0.25,P,1,4,-62,male
3,6,30,2.6,0.89,0.59,F,1,2,-60,female
7,3,36,3.4,-0.25,-0.42,F,1,3,-61,male
7,3,35,3.3,-1.81,-1.87,F,1,3,-59,male
7,2,26,3.3,-0.66,-1.35,F,1,4,-61,male
3,4,27,2.9,-1.28,-1.88,P,1,3,-57,male
7,2,32,2.7,0.74,0.61,P,1,5,-62,female
7,1,37,2.2,-1.29,-0.99,F,2,3,-33,male
7,3,35,3.3,-1.52,-1.42,P,1,3,-62,female
7,2,27.5,2.4,-0.1,0.21,P,1,4,-52,male
7,2,35,3.4,-0.34,-1.26,F,1,4,-62,male
7,1,39,3.5,-0.08,-0.3,P,1,4,-60,male
7,3,37,3.3,-0.62,-1.18,F,1,5,-62,female
7,2,37,2.6,-0.48,-0.92,P,1,3,-58,male
7,3,39,3.6,0.2,0.45,P,1,3,-62,female
7,4,36,3.8,1.85,2.34,P,1,4,-60,male
7,2,26.5,3.3,-0.75,-1.44,F,1,4,-62,male
7,3,39,2.7,-0.17,-0.06,P,1,4,-59,male
7,4,34.5,3.6,1.68,1.24,P,1,4,-59,male
7,1,40,4,1.65,1.74,P,1,3,-61,male
7,2,25,2.5,-0.34,-1.7,F,1,5,-60,male
7,1,38,2.6,0.14,-0.79,F,1,4,-61,male
7,1,25,2.9,-1.82,-1.72,F,1,4,-36,female
2,4,41,3.5,-1.1,-1.61,F,1,4,-62,female
2,3,25,NA,-0.41,-0.61,F,NA,NA,-56,female
7,3,37,3.8,0.92,0.97,P,1,3,-62,female
7,3,39,3.2,-0.28,-1.29,P,1,4,-62,female
3,1,25,2.6,0.04,-0.39,F,1,5,-57,female
7,3,35.3,3.1,-1.61,-1.74,P,1,3,-61,male
7,3,40,3.5,1.49,1.57,P,1,3,-61,male
7,1,41,3.5,-1.64,-1.44,P,1,5,-62,female
7,2,29,3.4,-0.97,-1.52,F,1,4,-60,male
7,2,39,2.5,0.24,0.15,P,1,3,-62,male
7,2,32.5,2.7,-0.17,-0.55,F,1,3,-61,female
3,1,29,3,NA,-0.85,F,2,3,-63,female
7,3,35,3.2,0.19,-0.46,F,2,4,-49,female
7,1,38,3,1.53,0.42,F,1,4,-53,male
5,1,26,3.1,-2.06,-2.06,F,1,4,-61,male
7,3,39,2.1,NA,NA,P,2,2,-53,male
3,1,28,2.8,-1.15,-2.03,F,1,3,-66,male
7,1,37,3.1,-0.07,-0.6,P,1,4,-62,female
7,5,40,3.2,NA,NA,P,1,4,-56,female
2,2,31,3,-0.93,-1.49,F,1,3,-61,female
7,1,36,3.3,-0.81,-0.29,P,1,5,-57,female
NA,6,42,2.6,-1.02,-1.24,F,1,3,-64,female
7,4,40,3.9,0.44,0.37,P,1,3,-62,male
7,1,39,3.6,0.38,-0.36,P,1,3,-52,male
7,3,34,3,-0.83,-1.06,F,1,3,-56,female
7,5,39,3.8,0.79,1.29,P,1,4,-62,female
7,1,48,3.5,-0.19,-0.09,P,1,4,-61,female
7,1,41,3.6,1.08,0.85,P,1,4,-62,male
7,1,38,3.7,0.88,1.56,P,1,3,-62,male
7,1,26,3.1,0.1,-0.66,F,1,4,-59,female
7,3,34,2.2,0.26,0.74,P,2,3,-56,female
3,3,34,2.3,-0.29,-0.67,F,1,3,-60,female
7,1,34,3.8,NA,NA,P,1,4,-62,female
7,1,38,3.8,-1.57,-1.65,P,1,3,-62,male
7,1,42,3.2,-0.52,NA,F,1,4,-67,male
2,1,37,3.6,-0.66,-0.02,P,1,2,-60,female
7,3,38,3.5,0.38,-0.3,P,1,4,-62,male
7,4,35.5,3,-1.14,-1.33,P,1,4,-61,female
7,3,31,3.2,-0.2,-0.63,F,2,3,-58,male
5,4,27,3.6,-1.9,-2.35,F,1,2,-60,male
3,1,36,2.8,-0.97,-1.01,F,1,4,-60,male
7,1,28.5,2.7,1.44,0.69,P,1,3,-61,male
7,1,30,3.1,1.86,1.14,P,1,2,-57,female
7,3,36,3.1,-0.76,-1.11,F,1,4,-60,male
7,3,34,2.8,0.22,-0.05,P,1,3,-62,female
2,5,NA,3.3,-0.31,-0.44,P,1,3,-60,female
7,6,27,3.2,-0.37,-0.42,F,1,2,-42,female
7,3,39,2.8,0.39,0.71,P,1,4,-58,male
7,4,42,2.8,-0.94,-0.62,F,1,3,-59,male
7,1,40,3.3,NA,NA,P,1,3,-60,female
2,6,21,NA,-0.98,-0.31,F,1,1,-53,male
7,2,39,2.8,-0.38,-0.48,F,1,3,-59,female
7,3,27,2.4,-1.11,-0.88,F,2,4,-42,male
6,1,35,2.9,-1.56,-1.77,P,1,1,-66,male
3,1,23.5,2.6,-1.79,-1.79,F,1,3,-59,female
7,1,35,3.4,-0.28,-0.55,F,1,1,-66,female
7,5,41,3.7,-0.81,-1.48,F,1,2,-56,female
3,1,30.5,3.2,-1.92,-1.36,F,1,4,-62,female
7,4,46,3.6,0.66,0.61,P,1,4,-62,male
7,4,33,3.5,0.96,0.97,P,1,2,-58,male
7,3,30.5,3.1,0.87,0.81,P,1,4,-61,male
7,4,34,3.5,0.35,0.76,P,1,2,-60,male
7,3,39,3.6,0.62,1.1,P,1,3,-62,female
7,3,39,4,1.25,1.94,P,1,2,-62,female
2,3,31,3,-0.39,-1.04,P,1,3,-56,male
7,3,39,3,-1.64,-1.93,F,1,5,-60,male
7,3,28.3,2.8,-0.93,-0.92,F,1,3,-59,male
7,5,38,3,-0.26,NA,P,1,4,-59,male
7,3,40,3.1,-1.22,-1.13,F,1,4,-62,female
7,2,42,3.5,0.51,0.93,P,1,3,-62,male
3,3,23,2.7,-1.39,-1.73,F,1,3,-61,male
7,1,48,3.3,0.97,NA,P,1,3,-59,male
7,1,39,3.2,-0.51,0,P,1,4,-62,male
7,1,41,3.3,0.22,-0.08,P,1,4,-61,male
7,1,31,3.5,-1.54,-1.86,F,1,3,-52,female
3,6,15,2.1,-0.61,-0.49,F,1,3,-57,female
7,3,43,3.5,1.67,1.65,P,2,4,-61,male
7,6,22,2.4,-0.9,-0.28,F,1,3,-60,male
7,3,35,2.9,1.36,1.77,P,2,2,-41,male
7,5,40.5,3.6,0.45,0.6,P,1,4,-60,female
7,5,48,3.8,0.54,0.82,P,1,3,-60,female
7,4,40,2.4,1.16,0.45,F,1,4,-59,female
7,3,33,3.8,-0.89,-0.72,P,1,4,-62,female
3,2,28,2.3,NA,NA,F,1,3,-56,male
7,3,34,2.9,-0.61,-1.37,F,1,4,-59,male
7,3,38,3,-0.69,-0.73,P,1,3,-62,female
7,3,37,3.6,1.13,1.54,P,1,3,-62,female
4,3,30,2.8,-1.48,-1.6,F,1,4,-55,female
7,3,27,3.6,-0.75,-1.01,P,1,3,-57,female
7,4,35,2.6,-1.05,-1.44,F,2,3,-62,female
7,1,35,3.6,-0.56,-0.21,P,1,3,-59,female
7,1,44,3,-0.28,-0.04,P,1,4,-61,male
7,1,39,3.1,-1.23,-1.42,F,1,2,-55,male
7,1,37,3.5,0.87,0.81,P,1,3,-62,female
7,3,36,2.1,1.57,0.95,P,2,3,-61,male
8,5,33,3.2,NA,NA,F,1,4,-62,female
7,1,42,3.1,0.17,0.11,P,1,4,-59,male
7,4,31,3.2,0.78,1.12,P,1,4,-62,female
2,5,43,3.4,0.06,NA,P,1,2,-60,male
7,3,39,2.8,1.36,1.55,P,1,4,-61,female
7,3,30.5,3.1,-1.52,-1.7,F,1,3,-42,female
7,3,32.5,3.2,-0.29,-0.25,F,1,3,-61,female
7,2,39,2.7,-0.28,-0.28,F,1,4,-62,female
7,1,36,3.5,-0.87,-1.34,F,1,3,-51,male
3,1,32,2.4,-1.01,-1.2,P,2,3,-61,female
7,2,35,2.6,-0.37,-0.53,F,1,3,-53,female
7,3,36,3.5,-1.45,-0.93,F,2,4,-60,female
7,1,42,2.8,-0.89,-1.39,P,1,2,-65,male
7,1,39,3.3,-0.04,0.17,P,1,1,-46,male
4,4,38,3.4,-0.87,-1.26,P,1,4,-59,female
3,5,29.5,2.7,-1.84,-2.2,F,1,5,-62,male
7,3,37,3,0.51,0.26,F,1,4,-64,female
1,1,29,2.9,-1.36,-1.66,F,1,2,-55,female
7,5,42,3.8,-2.09,-2.18,P,1,4,-62,male
3,1,24.7,2.9,-0.45,-0.32,F,2,3,-56,female
7,1,34,3.6,-1.87,-1.34,P,1,4,-67,female
2,4,25,2.5,-1.86,-2.4,F,1,1,-37,male
3,6,23.3,2.7,-1.56,-1.95,F,1,3,-60,female
7,3,39,2.6,0.43,1.34,P,1,2,-54,male
3,6,22,2.5,-0.47,-1.87,F,1,3,-57,male
3,5,35,3.3,-1.66,NA,P,1,4,-62,female
7,3,32,2.8,-1.36,-1.17,F,1,4,-61,male
7,3,31,3.2,-1.56,-0.74,F,1,2,-59,female
7,3,33,3.4,-1.41,-1.54,F,1,4,-61,male
7,5,39,3.5,0.86,0.86,P,1,5,-62,female
7,1,36,2.9,-0.95,-1.42,F,1,5,-47,female
4,1,32,2.8,-1.32,-1.62,F,1,4,-60,female
7,3,39,2.5,1.64,1.82,P,2,3,-51,male
7,1,32,3,-1.68,-2.06,F,1,2,-36,female
6,3,24,2.9,-1.38,-1.27,F,1,2,-59,female
3,6,26,3.1,-0.05,0.17,F,1,2,-61,male
7,4,34,3,-1.85,-1.53,F,2,3,-51,male
7,1,45,3.4,0.97,1.27,P,1,5,-60,male
7,3,39,2.9,0.02,-0.45,F,1,4,-57,female
7,5,43,3.4,-0.01,0.73,P,1,5,-62,female
7,1,39,3.1,1.03,0.87,P,1,1,-54,male
7,3,39,3.6,1.3,1.13,P,1,4,-62,female
2,6,30,2.8,-0.69,-0.79,F,1,4,-62,male
7,1,30.5,3.6,0.15,-0.24,P,1,3,-48,female
7,1,39,3.7,-1.13,-0.53,F,1,3,-44,female
3,6,31,2.2,0.18,-0.11,F,1,2,-38,male
4,1,26,3.6,-1.23,-1.41,F,1,3,-61,male
7,6,34,3.1,-1.16,-1.01,F,1,3,-60,male
7,4,27,3.6,-0.98,-1.32,P,1,4,-61,male
8,3,35,2.4,0.83,0.27,P,1,5,-61,male
2,3,30,2.8,-0.61,-1.26,F,2,3,-64,male
7,4,43,3.5,-0.83,0.18,P,1,1,-44,female
7,3,39.5,3.2,0.03,0.1,P,1,4,-61,female
7,3,39,2.7,-0.28,-0.66,P,1,4,-62,male
7,1,39.5,2.9,-1.22,-0.81,P,1,4,-61,female
7,3,35,3,0.84,1.54,P,1,2,-41,female
7,4,33,3.8,-0.28,0.48,P,1,3,-62,female
7,1,37,3.7,1.07,1.41,P,1,4,-58,male
7,3,36.5,3.4,-1.47,-1.4,F,1,4,-61,male
7,3,36,3.1,-0.1,-0.36,P,1,4,-61,male
3,6,28,2.2,-0.65,0.11,F,1,4,-56,male
7,2,34,3.3,NA,NA,P,1,4,-62,female
7,3,39,NA,-0.09,-0.36,F,2,4,-49,male
7,4,46,3.9,0.2,0.1,P,1,4,-62,male
6,3,37,3.9,2.22,2.55,P,2,3,-58,female
7,1,39,3.1,-1.76,-1.44,F,2,2,-52,female
1,6,24,2.6,-1.53,-0.65,F,1,2,-60,female
5,3,33,2.4,-0.75,-0.86,F,1,3,-58,female
7,3,38,2.8,-0.74,-1.3,F,1,4,-49,male
7,1,37,3.6,0.03,0.45,P,1,3,-48,male
3,6,22,3.1,1.29,0.3,F,1,3,-57,male
7,3,44,2.7,0.35,0.13,P,1,5,-62,male
3,3,25,2.7,-1.08,-1.3,F,2,1,-51,female
7,2,34,2.5,-1,-1.32,F,NA,3,-37,male
6,3,34,3.1,-0.73,-1.8,F,1,3,-63,female
3,3,28,2.1,-1.06,-1.97,F,1,3,-63,female
7,3,26,2.9,-2.09,-1.07,F,1,5,-62,male
7,4,45,3.5,-1.7,-1.38,P,1,4,-61,male
7,3,35,3.7,1.38,1.57,P,1,4,-61,male
7,3,40,3.9,0.44,1.12,P,1,4,-62,female
3,6,21,2.1,-0.1,-1.28,F,1,NA,-56,female
3,6,26,2.4,NA,NA,F,1,2,-56,female
7,4,33.5,2.7,-0.23,-0.48,F,2,4,-54,male
3,1,31.5,2.6,-0.75,-1.26,F,1,4,-59,male
7,3,35,2.9,-1.24,-1.32,P,1,4,-40,female
7,3,26.5,3.2,-1.66,-1.12,F,1,4,-54,male
1,1,24,2.6,-0.8,-1.27,F,1,3,-58,male
7,6,29,3.5,-0.08,-1,F,1,3,-60,female
7,1,29,3.9,NA,-0.98,F,1,4,-62,female
7,3,33,3,0.32,0.55,P,1,4,-67,male
7,3,37,2.9,-0.46,-0.41,P,1,4,-62,female
7,4,34,3.2,-0.01,0.41,P,1,1,-60,male
7,1,36.3,3.5,-0.56,-0.79,F,1,2,-61,male
7,5,34,3.1,NA,NA,F,1,4,-56,female
7,1,40,3.6,0.72,0.41,P,1,4,-62,male
7,1,38,3.2,0.19,0.1,P,1,2,-59,female
7,5,41,2.6,0.09,-0.1,P,1,5,-61,male
7,2,26,3.2,-0.27,0.24,P,1,2,-61,female
